show_id,title,type,release_year,language,genres,popularity,vote_count,vote_average
27205,Inception,Movie,2010,en,"Action, Science Fiction, Adventure",156.242,37119,8.369
157336,Interstellar,Movie,2014,en,"Adventure, Drama, Science Fiction",288.193,36625,8.5
293660,Deadpool,Movie,2016,en,"Action, Adventure, Comedy",106.641,31371,7.622
24428,The Avengers,Movie,2012,en,"Science Fiction, Action, Adventure",186.111,31285,7.73
299536,Avengers: Infinity War,Movie,2018,en,"Adventure, Action, Science Fiction",285.584,30231,8.2
118340,Guardians of the Galaxy,Movie,2014,en,"Action, Science Fiction, Adventure",49.395,28308,7.9
68718,Django Unchained,Movie,2012,en,"Drama, Western",60.467,26532,8.183
475557,Joker,Movie,2019,en,"Crime, Thriller, Drama",83.229,26169,8.1
299534,Avengers: Endgame,Movie,2019,en,"Adventure, Science Fiction, Action",133.255,26065,8.2
1399,Game of Thrones,TV Show,2011,en,"Sci-Fi & Fantasy, Drama, Action & Adventure",812.157,24664,8.5
106646,The Wolf of Wall Street,Movie,2013,en,"Crime, Drama, Comedy",119.574,24358,8.031
11324,Shutter Island,Movie,2010,en,"Drama, Thriller, Mystery",101.551,24282,8.2
99861,Avengers: Age of Ultron,Movie,2015,en,"Action, Adventure, Science Fiction",96.35,23242,7.272
49026,The Dark Knight Rises,Movie,2012,en,"Action, Crime, Drama, Thriller",72.208,23005,7.8
271110,Captain America: Civil War,Movie,2016,en,"Adventure, Action, Science Fiction",172.492,22932,7.444
76341,Mad Max: Fury Road,Movie,2015,en,"Action, Adventure, Science Fiction",99.407,22895,7.6
284054,Black Panther,Movie,2018,en,"Action, Adventure, Science Fiction",95.547,22404,7.375
68721,Iron Man 3,Movie,2013,en,"Action, Adventure, Science Fiction",62.635,22379,6.9
284052,Doctor Strange,Movie,2016,en,"Action, Adventure, Fantasy",62.705,22362,7.4
150540,Inside Out,Movie,2015,en,"Animation, Family, Adventure, Drama, Comedy",130.033,22306,7.911
70160,The Hunger Games,Movie,2012,en,"Science Fiction, Adventure, Fantasy",62.5,22183,7.214
315635,Spider-Man: Homecoming,Movie,2017,en,"Action, Adventure, Science Fiction, Drama",95.686,22022,7.3
283995,Guardians of the Galaxy Vol. 2,Movie,2017,en,"Science Fiction, Adventure, Action",79.993,21793,7.6
1771,Captain America: The First Avenger,Movie,2011,en,"Action, Adventure, Science Fiction",83.313,21654,7.0
10195,Thor,Movie,2011,en,"Adventure, Fantasy, Action",76.373,21353,6.8
297761,Suicide Squad,Movie,2016,en,"Action, Adventure, Fantasy",38.86,21278,5.918
10138,Iron Man 2,Movie,2010,en,"Adventure, Action, Science Fiction",95.255,21222,6.8
284053,Thor: Ragnarok,Movie,2017,en,"Action, Adventure, Science Fiction",84.247,20961,7.6
12445,Harry Potter and the Deathly Hallows: Part 2,Movie,2011,en,"Fantasy, Adventure",115.252,20842,8.089
634649,Spider-Man: No Way Home,Movie,2021,en,"Action, Adventure, Science Fiction",169.128,20558,7.949
135397,Jurassic World,Movie,2015,en,"Action, Adventure, Science Fiction, Thriller",137.798,20543,6.693
297762,Wonder Woman,Movie,2017,en,"Action, Adventure, Fantasy",54.739,20092,7.2
286217,The Martian,Movie,2015,en,"Drama, Adventure, Science Fiction",56.575,19995,7.688
102899,Ant-Man,Movie,2015,en,"Science Fiction, Action, Adventure",53.537,19921,7.1
354912,Coco,Movie,2017,en,"Family, Animation, Music, Adventure",131.976,19784,8.2
140607,Star Wars: The Force Awakens,Movie,2015,en,"Adventure, Action, Science Fiction",81.795,19573,7.264
245891,John Wick,Movie,2014,en,"Action, Thriller",65.962,19494,7.442
263115,Logan,Movie,2017,en,"Action, Drama, Science Fiction",60.572,19472,7.8
12444,Harry Potter and the Deathly Hallows: Part 1,Movie,2010,en,"Adventure, Fantasy",121.191,19327,7.744
346364,It,Movie,2017,en,"Horror, Thriller",68.356,19222,7.24
100402,Captain America: The Winter Soldier,Movie,2014,en,"Action, Adventure, Science Fiction",96.415,18956,7.7
259316,Fantastic Beasts and Where to Find Them,Movie,2016,en,"Fantasy, Adventure",52.876,18925,7.317
210577,Gone Girl,Movie,2014,en,"Mystery, Thriller, Drama",96.166,18848,7.89
71446,Money Heist,TV Show,2017,es,"Crime, Drama",133.64,18791,8.238
496243,Parasite,Movie,2019,ko,"Comedy, Thriller, Drama",130.55,18728,8.5
49051,The Hobbit: An Unexpected Journey,Movie,2012,en,"Adventure, Fantasy, Action",88.877,18623,7.357
281957,The Revenant,Movie,2015,en,"Western, Drama, Adventure",71.919,18276,7.532
383498,Deadpool 2,Movie,2018,en,"Action, Comedy, Adventure",70.984,18205,7.489
209112,Batman v Superman: Dawn of Justice,Movie,2016,en,"Action, Adventure, Fantasy",80.962,18128,6.0
66732,Stranger Things,TV Show,2016,en,"Drama, Sci-Fi & Fantasy, Mystery",341.461,18075,8.598
