week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,weekly_views
2023-12-17,films (english),1,leave the world behind,,106200000,44900000.0
2023-12-17,films (english),2,chicken run dawn of the nugget,,20300000,11900000.0
2023-12-17,films (english),3,leo,,16800000,9400000.0
2023-12-17,films (english),4,family switch,,16600000,9400000.0
2023-12-17,films (english),5,the super mario bros movie,,13700000,8900000.0
2023-12-17,films (english),6,underwater,,9200000,5800000.0
2023-12-17,films (english),7,old,,10000000,5600000.0
2023-12-17,films (english),8,christmas as usual,,7100000,4800000.0
2023-12-17,films (english),9,dr seuss the grinch,,5700000,4000000.0
2023-12-17,films (english),10,holiday in the vineyards,,6900000,3900000.0
2023-12-17,films (non-english),1,blood vessel,,8800000,4400000.0
2023-12-17,films (non-english),2,stolen vacation,,3200000,2100000.0
2023-12-17,films (non-english),3,dhak dhak,,3700000,1600000.0
2023-12-17,films (non-english),4,the archies,,3100000,1300000.0
2023-12-17,films (non-english),5,dont buy the seller,,2100000,1200000.0
2023-12-17,films (non-english),6,familia,,1800000,1000000.0
2023-12-17,films (non-english),7,naga,,1900000,1000000.0
2023-12-17,films (non-english),8,nowhere,,1800000,1000000.0
2023-12-17,films (non-english),9,women on the edge,,1400000,900000.0
2023-12-17,films (non-english),10,japan,,2200000,900000.0
2023-12-17,tv (english),1,my life with the walter boys,My Life With the Walter Boys: Season 1,97500000,12800000.0
2023-12-17,tv (english),2,the crown,The Crown: Season 6,50900000,5800000.0
2023-12-17,tv (english),3,obliterated,Obliterated: Season 1,35600000,5200000.0
2023-12-17,tv (english),4,world war ii from the frontlines,World War II: From the Frontlines: Season 1,21200000,4400000.0
2023-12-17,tv (english),5,squid game the challenge,Squid Game: The Challenge: Season 1,24900000,3000000.0
2023-12-17,tv (english),6,car masters rust to riches,Car Masters: Rust to Riches: Season 5,12900000,2400000.0
2023-12-17,tv (english),7,bad surgeon love under the knife,Bad Surgeon: Love Under the Knife: Season 1,6100000,2300000.0
2023-12-17,tv (english),8,cocomelon lane,CoComelon Lane: Season 1,7800000,2000000.0
2023-12-17,tv (english),9,young sheldon,Young Sheldon: Season 1,11600000,1600000.0
2023-12-17,tv (english),10,school spirits,School Spirits: Season 1,8900000,1400000.0
2023-12-17,tv (non-english),1,yu yu hakusho,Yu Yu Hakusho: Season 1,32100000,7700000.0
2023-12-17,tv (non-english),2,my demon,My Demon: Season 1,33600000,4200000.0
2023-12-17,tv (non-english),3,blood coast,Blood Coast: Season 1,19900000,3800000.0
2023-12-17,tv (non-english),4,singles inferno,Singles Inferno: Season 3,11900000,3600000.0
2023-12-17,tv (non-english),5,high tides,High Tides: Season 1,19100000,3300000.0
2023-12-17,tv (non-english),6,true beauty,,63500000,3200000.0
2023-12-17,tv (non-english),7,a nearly normal family,A Nearly Normal Family: Limited Series,12200000,2700000.0
2023-12-17,tv (non-english),8,if i were luísa sonza,If I Were Luísa Sonza: Season 1,4000000,2200000.0
2023-12-17,tv (non-english),9,dubai bling,Dubai Bling: Season 2,12600000,1900000.0
2023-12-17,tv (non-english),10,welcome to samdalri,Welcome to Samdal-ri: Season 1,11000000,1900000.0
2023-12-10,films (english),1,leave the world behind,,98700000,41700000.0
2023-12-10,films (english),2,family switch,,32900000,18600000.0
2023-12-10,films (english),3,leo,,25400000,14200000.0
2023-12-10,films (english),4,the super mario bros movie,,20300000,13200000.0
2023-12-10,films (english),5,catering christmas,,12500000,8700000.0
2023-12-10,films (english),6,nobody,,10600000,6900000.0
2023-12-10,films (english),7,christmas as usual,,10000000,6700000.0
2023-12-10,films (english),8,the fast and the furious,,11200000,6300000.0
2023-12-10,films (english),9,the fate of the furious,,13700000,6000000.0
2023-12-10,films (english),10,bb merry,,6300000,4600000.0
2023-12-10,films (non-english),1,mission raniganj the great bharat rescue,,5700000,2500000.0
2023-12-10,films (non-english),2,stolen vacation,,3800000,2500000.0
2023-12-10,films (non-english),3,the archies,,5200000,2200000.0
2023-12-10,films (non-english),4,women on the edge,,3000000,1900000.0
2023-12-10,films (non-english),5,the three musketeers dartagnan,,3700000,1800000.0
2023-12-10,films (non-english),6,last call for istanbul,,2700000,1800000.0
2023-12-10,films (non-english),7,thank you for coming,,2900000,1500000.0
2023-12-10,films (non-english),8,concrete utopia,,3100000,1400000.0
2023-12-10,films (non-english),9,hard days,,2500000,1300000.0
2023-12-10,films (non-english),10,blood vessel,,2400000,1200000.0
2023-12-10,tv (english),1,obliterated,Obliterated: Season 1,61500000,9000000.0
2023-12-10,tv (english),2,my life with the walter boys,My Life With the Walter Boys: Season 1,57400000,7500000.0
2023-12-10,tv (english),3,squid game the challenge,Squid Game: The Challenge: Season 1,54100000,6600000.0
2023-12-10,tv (english),4,bad surgeon love under the knife,Bad Surgeon: Love Under the Knife: Season 1,13300000,5000000.0
2023-12-10,tv (english),5,world war ii from the frontlines,World War II: From the Frontlines: Season 1,20300000,4200000.0
2023-12-10,tv (english),6,the crown,The Crown: Season 6,8200000,2500000.0
2023-12-10,tv (english),7,cocomelon lane,CoComelon Lane: Season 1,9500000,2400000.0
2023-12-10,tv (english),8,virgin river,Virgin River: Season 5,20300000,2200000.0
2023-12-10,tv (english),9,young sheldon,Young Sheldon: Season 1,13900000,1900000.0
2023-12-10,tv (english),10,young sheldon,Young Sheldon: Season 2,10300000,1400000.0
2023-12-10,tv (non-english),1,blood coast,Blood Coast: Season 1,29400000,5600000.0
2023-12-10,tv (non-english),2,a nearly normal family,A Nearly Normal Family: Limited Series,24500000,5400000.0
2023-12-10,tv (non-english),3,my demon,My Demon: Season 1,28000000,4900000.0
2023-12-10,tv (non-english),4,sweet home,Sweet Home: Season 2,37100000,3900000.0
2023-12-10,tv (non-english),5,welcome to samdalri,Welcome to Samdal-ri: Season 1,8200000,2300000.0
2023-12-10,tv (non-english),6,criminal code,Criminal Code: Season 1,15300000,2000000.0
2023-12-10,tv (non-english),7,sweet home,Sweet Home: Season 1,16600000,1900000.0
2023-12-10,tv (non-english),8,castaway diva,Castaway Diva: Limited Series,16600000,1200000.0
2023-12-10,tv (non-english),9,i hate christmas,I Hate Christmas: Season 2,3700000,1100000.0
2023-12-10,tv (non-english),10,high tides,High Tides: Season 1,6400000,1100000.0
2023-12-03,films (english),1,leo,,42100000,23600000.0
2023-12-03,films (english),2,family switch,,39200000,22200000.0
2023-12-03,films (english),3,best christmas ever,,9600000,7000000.0
2023-12-03,films (english),4,catering christmas,,6600000,4600000.0
2023-12-03,films (english),5,sonic the hedgehog 2,,8200000,4000000.0
2023-12-03,films (english),6,the silencing,,5800000,3700000.0
2023-12-03,films (english),7,the killer,,7100000,3600000.0
2023-12-03,films (english),8,dr seuss the grinch,,4900000,3400000.0
2023-12-03,films (english),9,the super mario bros movie,,4800000,3100000.0
2023-12-03,films (english),10,the christmas chronicles,,5300000,3000000.0
2023-12-03,films (non-english),1,last call for istanbul,,13300000,8800000.0
2023-12-03,films (non-english),2,crime diaries the celebrity stylist,,4100000,3500000.0
2023-12-03,films (non-english),3,leo hindi,,6800000,2500000.0
2023-12-03,films (non-english),4,ilary blasi the one and only,,3400000,2500000.0
2023-12-03,films (non-english),5,mission raniganj the great bharat rescue,,5500000,2400000.0
2023-12-03,films (non-english),6,elena knows,,4000000,2400000.0
2023-12-03,films (non-english),7,alltime high,,3400000,2000000.0
2023-12-03,films (non-english),8,believer 2,,3400000,1800000.0
2023-12-03,films (non-english),9,women on the edge,,2700000,1700000.0
2023-12-03,films (non-english),10,the three musketeers dartagnan,,3400000,1700000.0
2023-12-03,tv (english),1,squid game the challenge,Squid Game: The Challenge: Season 1,85000000,11400000.0
2023-12-03,tv (english),2,bad surgeon love under the knife,Bad Surgeon: Love Under the Knife: Season 1,19800000,7400000.0
2023-12-03,tv (english),3,obliterated,Obliterated: Season 1,47600000,7000000.0
2023-12-03,tv (english),4,the crown,The Crown: Season 6,13100000,3900000.0
2023-12-03,tv (english),5,cocomelon lane,CoComelon Lane: Season 1,11000000,2800000.0
2023-12-03,tv (english),6,virgin river,Virgin River: Season 5,25300000,2700000.0
2023-12-03,tv (english),7,young sheldon,Young Sheldon: Season 1,19300000,2700000.0
2023-12-03,tv (english),8,all the light we cannot see,All the Light We Cannot See: Limited Series,7600000,2000000.0
2023-12-03,tv (english),9,young sheldon,Young Sheldon: Season 2,12100000,1700000.0
2023-12-03,tv (english),10,first wives club,First Wives Club: Season 1,5800000,1500000.0
2023-12-03,tv (non-english),1,a nearly normal family,A Nearly Normal Family: Limited Series,47700000,10500000.0
2023-12-03,tv (non-english),2,my demon,My Demon: Season 1,19700000,5400000.0
2023-12-03,tv (non-english),3,criminal code,Criminal Code: Season 1,27100000,3500000.0
2023-12-03,tv (non-english),4,sweet home,Sweet Home: Season 2,23700000,2500000.0
2023-12-03,tv (non-english),5,the railway men the untold story of bhopal 1984,The Railway Men - The Untold Story Of Bhopal 1984: Limited Series,8000000,2000000.0
2023-12-03,tv (non-english),6,nothing to see here,Nothing to See Here: Season 1,6500000,1900000.0
2023-12-03,tv (non-english),7,squid game,Squid Game: Season 1,12700000,1500000.0
2023-12-03,tv (non-english),8,castaway diva,Castaway Diva: Limited Series,18500000,1400000.0
2023-12-03,tv (non-english),9,replacing chef chico,Replacing Chef Chico: Season 1,6100000,1300000.0
2023-12-03,tv (non-english),10,strong girl namsoon,Strong Girl Nam-soon: Limited Series,19600000,1200000.0
2023-11-26,films (english),1,leo,,61700000,34600000.0
2023-11-26,films (english),2,best christmas ever,,18200000,13300000.0
2023-11-26,films (english),3,the killer,,17500000,8800000.0
2023-11-26,films (english),4,see you on venus,,11300000,7100000.0
2023-11-26,films (english),5,jules,,6700000,4600000.0
2023-11-26,films (english),6,triple frontier,,7500000,3600000.0
2023-11-26,films (english),7,the christmas chronicles,,5900000,3400000.0
2023-11-26,films (english),8,dr seuss the grinch,,4100000,2900000.0
2023-11-26,films (english),9,lone survivor,,5500000,2700000.0
2023-11-26,films (english),10,falling for christmas,,4300000,2700000.0
2023-11-26,films (non-english),1,last call for istanbul,,16300000,10700000.0
2023-11-26,films (non-english),2,believer 2,,12300000,6400000.0
2023-11-26,films (non-english),3,alltime high,,8700000,5100000.0
2023-11-26,films (non-english),4,crime diaries the celebrity stylist,,5000000,4200000.0
2023-11-26,films (non-english),5,sukhee,,5300000,2300000.0
2023-11-26,films (non-english),6,ilary blasi the one and only,,2600000,1900000.0
2023-11-26,films (non-english),7,wingwomen,,3600000,1900000.0
2023-11-26,films (non-english),8,jawan extended cut,,4800000,1700000.0
2023-11-26,films (non-english),9,elena knows,,2700000,1600000.0
2023-11-26,films (non-english),10,the queenstown kings,,3600000,1600000.0
2023-11-26,tv (english),1,squid game the challenge,Squid Game: The Challenge: Season 1,85700000,20100000.0
2023-11-26,tv (english),2,the crown,The Crown: Season 6,29300000,8800000.0
2023-11-26,tv (english),3,cocomelon lane,CoComelon Lane: Season 1,13200000,3400000.0
2023-11-26,tv (english),4,all the light we cannot see,All the Light We Cannot See: Limited Series,12600000,3300000.0
2023-11-26,tv (english),5,matt rife natural selection,,3100000,2900000.0
