CATEGORY,SHOW_TITLE,VIEWS_FIRST3WEEKS,HOURS_FIRST3WEEKS,BEST_RANK,VIEWS_WEEKS4TO13
films (english),extraction 2,102500000,211900000,1,20800000
films (english),heart of stone,81900000,172100000,1,10000000
films (english),leo,72400000,129200000,1,9400000
films (non-english),nowhere,66900000,121500000,1,13500000
films (english),the outlaws,60300000,97500000,1,5500000
films (english),the killer,59000000,117700000,1,3600000
films (english),hidden strike,53300000,91600000,1,3500000
films (english),reptile,51800000,117600000,1,10500000
tv (english),one piece,47800000,361300000,1,15800000
films (english),you are so not invited to my bat mitzvah,43000000,74500000,1,6800000
films (non-english),bird box barcelona,41300000,77200000,1,1600000
tv (english),squid game the challenge,38100000,224800000,1,3000000
tv (english),who is erin carter,36100000,206300000,1,3800000
tv (non-english),dear child,36000000,173300000,1,10000000
films (non-english),wingwomen,34700000,67100000,1,1900000
films (english),pain hustlers,34400000,71600000,2,2600000
films (non-english),paradise,31200000,61800000,1,6900000
tv (english),beckham,30900000,146500000,1,8400000
films (english),miraculous ladybug cat noir the movie,30500000,51800000,2,3500000
films (non-english),forgotten love,29200000,68100000,2,9600000
films (non-english),ballerina,29000000,45500000,1,3300000
films (non-english),through my window 2 across the sea,27500000,51400000,1,1200000
tv (english),all the light we cannot see,25600000,98000000,1,5300000
tv (english),black mirror,25200000,125000000,1,8600000
films (non-english),burning betrayal,23800000,39300000,1,1900000
tv (english),painkiller,23700000,117800000,1,5400000
tv (non-english),a nearly normal family,22300000,101200000,1,2700000
films (non-english),make me believe,20000000,34600000,1,2400000
films (english),cold pursuit,18900000,37200000,3,3000000
tv (english),the fall of the house of usher,18400000,151700000,1,2800000
tv (english),bodies,17500000,133800000,1,2600000
tv (non-english),criminal code,15300000,118900000,1,2000000
tv (english),fatal seduction,14900000,56000000,3,6400000
tv (non-english),a perfect story,14700000,53600000,1,4300000
films (non-english),zom 100 bucket list of the dead,14700000,31700000,2,900000
films (english),nimona,14600000,25000000,3,3400000
tv (non-english),burning body,14500000,95000000,2,3500000
tv (non-english),mask girl,13700000,93900000,1,1700000
tv (non-english),my demon,13300000,54400000,2,4200000
tv (non-english),pact of silence,13100000,157600000,2,4600000
tv (non-english),bloodhounds,12700000,131170000,1,4200000
tv (english),life on our planet,12500000,86600000,3,2000000
films (non-english),gold brick,12300000,19900000,2,1100000
tv (non-english),the surrogacy,12200000,185100000,1,5300000
films (non-english),you do you,11300000,28050000,1,1100000
films (non-english),jawan extended cut,10900000,31100000,3,1700000
tv (non-english),celebrity,10800000,96800000,1,1800000
tv (non-english),ragnarok,10500000,47600000,2,20600000
films (english),dr seuss the grinch,10400000,14900000,4,7400000
films (english),f9 the fast saga,10400000,35600000,3,4300000
tv (non-english),king the land,10300000,44400000,1,27000000
films (non-english),the great seduction,10300000,16500000,1,800000
tv (non-english),strong girl namsoon,9600000,39000000,3,11200000
tv (non-english),thursdays widows,9000000,40200000,3,1000000
tv (non-english),destined with you,8800000,37300000,3,8400000
tv (english),cocomelon lane,8600000,33700000,3,2000000
tv (english),suits,8200000,74600000,5,2200000
tv (english),murdaugh murders a southern scandal,7600000,87010000,2,8700000
tv (non-english),my happy marriage,6800000,8500000,4,7900000
tv (english),young sheldon,6500000,46400000,6,4900000
tv (non-english),see you in my 19th life,6200000,38100000,4,3200000
tv (non-english),a time called you,6000000,73800000,4,1000000
tv (non-english),baki hanma,6000000,67650000,2,10400000
films (non-english),a deadly invitation,5800000,9200000,7,1400000
tv (non-english),fake profile,5600000,176240000,1,6900000
tv (non-english),behind your touch,5600000,30300000,4,900000
tv (non-english),castaway diva,5500000,33600000,5,4200000
tv (non-english),the uncanny counter,5300000,34800000,6,1300000
tv (non-english),zom 100 bucket list of the dead,5000000,5300000,7,1500000
tv (english),gabbys dollhouse,4100000,35250000,3,5900000
films (non-english),a beautiful life,4000000,40730000,1,5400000
tv (non-english),dp,2800000,42600000,3,4000000
tv (english),disenchantment,1400000,35990000,9,2200000
films (english),a boy called christmas,0,56930000,3,0
films (english),a man called otto,0,44000000,1,0
films (english),army of thieves,0,141810000,1,0
films (english),hustle,0,167820000,1,0
films (english),love hard,0,120330000,2,0
films (english),paw patrol the movie,0,15450000,7,23200000
films (english),the guilty,0,102470000,1,0
films (english),the tinder swindler,0,144950000,1,0
films (english),we have a ghost,0,96480000,1,0
films (english),wish dragon,0,34400000,3,0
films (non-english),black crab,0,87700000,1,0
films (non-english),blood gold,0,45640000,1,1600000
films (non-english),chor nikal ke bhaga,0,33210000,2,0
films (non-english),darlings,0,29810000,2,0
films (non-english),furioza,0,47910000,1,0
films (non-english),gods crooked lines,0,52410000,1,0
films (non-english),in good hands,0,43750000,2,0
films (non-english),kill boksoon,0,53960000,1,0
films (non-english),rurouni kenshin the beginning,0,30240000,2,0
films (non-english),the last mercenary,0,47580000,1,0
films (non-english),tin tina,0,40710000,2,3900000
tv (english),1899,0,211780000,2,0
tv (english),all american,0,97860000,2,0
